"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","93","Racers Edge Motorsports","Pro","42","1:30:49.440",5449440,"2:05.789",125789,"97.592","2","","","25","7","143.220","18","2:03.997","Racers Edge Motorsports","","2:05.900",125900,"1","26.748",26748,"50.780",50780,"Racers Edge Motorsports","","","218193","FGTWCA","Acura NSX GT3 EVO22","Racers Edge Motorsports","Acura","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:0vqqczL5qjh8iJjuX2OkX","entries:events-lJKQh5JmkIuKl8rnnFAqm:0vqqczL5qjh8iJjuX2OkX","4774664","",2,"1 (2 → 1)","6"
"2","2","28","RS1","Pro","42","1:30:51.857",5451857,"2:06.004",126004,"97.425","6","2.417","2.417","18","3","143.220","0","2:03.741","RS1","","2:06.218",126218,"1","27.027",27027,"50.536",50536,"RS1","","","218093","FGTWCA","Porsche GT3 R 992","RS1","Porsche","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:gsXAJv6AazMWZqtwT2gP_","entries:events-lJKQh5JmkIuKl8rnnFAqm:gsXAJv6AazMWZqtwT2gP_","3158476","",1,"-1 (1 → 2)","1"
"3","1","120","Wright Motorsports","Pro-Am","42","1:30:58.103",5458103,"2:05.532",125532,"97.792","2","8.663","6.246","25","5","143.220","17","2:03.948","Wright Motorsports","","2:05.582",125582,"1","26.705",26705,"50.613",50613,"Wright Motorsports","","","218041","FGTWCA","Porsche 911 GT3-R (991.ii)","Wright Motorsports","Porsche","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:jcWHr9Hi2l4pDpoaLdvF5","entries:events-lJKQh5JmkIuKl8rnnFAqm:jcWHr9Hi2l4pDpoaLdvF5","3595759","",4,"3 (4 → 1)","2"
"4","2","007","TRG - The Racers Group","Pro-Am","42","1:30:59.126",5459126,"2:06.036",126036,"97.401","11","9.686","1.023","18","6","143.220","0","2:03.970","TRG - The Racers Group","","2:06.131",126131,"1","26.739",26739,"51.135",51135,"TRG - The Racers Group","","","218029","FGTWCA","Aston Martin Vantage AMR GT3","TRG - The Racers Group","Aston Martin","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:0CydsrzJEGeXG4J5POB2v","entries:events-lJKQh5JmkIuKl8rnnFAqm:0CydsrzJEGeXG4J5POB2v","1797268","",5,"3 (5 → 2)","2"
"5","3","53","MDK","Pro","42","1:31:04.227",5464227,"2:06.859",126859,"96.769","6","14.787","5.101","15","12","143.220","0","2:04.645","MDK","","2:06.883",126883,"1","27.121",27121,"51.113",51113,"MDK","","","218254","FGTWCA","Porsche GT3 R 992","MDK","Porsche","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:9uQlBH9iFmncBFlAe0UKj","entries:events-lJKQh5JmkIuKl8rnnFAqm:9uQlBH9iFmncBFlAe0UKj","16240926","",3,"0 (3 → 3)","7"
"6","3","45","Wright Motorsports","Pro-Am","42","1:31:05.477",5465477,"2:06.086",126086,"97.362","13","16.037","1.250","15","8","143.220","0","2:04.035","Wright Motorsports","","2:06.183",126183,"1","26.831",26831,"50.758",50758,"Wright Motorsports","","","218049","FGTWCA","Porsche GT3 R 992","Wright Motorsports","Porsche","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:CPBQPTblCjtpp6nbOstJ0","entries:events-lJKQh5JmkIuKl8rnnFAqm:CPBQPTblCjtpp6nbOstJ0","4399975","",6,"3 (6 → 3)","2"
"7","4","91","DXDT Racing","Pro-Am","42","1:31:07.806",5467806,"2:06.414",126414,"97.109","6","18.366","2.329","12","10","143.220","0","2:04.163","DXDT Racing","","2:06.494",126494,"1","26.899",26899,"50.932",50932,"DXDT Racing","","","218199","FGTWCA","Mercedes-AMG GT3","DXDT Racing","Mercedes AMG GmbH","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:HBGliKnpP54DNQjztKUy-","entries:events-lJKQh5JmkIuKl8rnnFAqm:HBGliKnpP54DNQjztKUy-","7655131","",8,"4 (8 → 4)","3"
"8","5","38","ST Racing","Pro-Am","42","1:31:08.129",5468129,"2:06.164",126164,"97.302","5","18.689","0.323","10","13","143.220","0","2:05.324","ST Racing","","2:06.295",126295,"1","26.686",26686,"51.187",51187,"ST Racing","","","218036","FGTWCA","BMW M4 GT3","ST Racing","BMW","CAN","","entries:events-lJKQh5JmkIuKl8rnnFAqm:qNWJ7HkH3CZYyG0kT8tLq","entries:events-lJKQh5JmkIuKl8rnnFAqm:qNWJ7HkH3CZYyG0kT8tLq","14049082","",10,"5 (10 → 5)","5"
"9","6","33","Triarsi Competizione","Pro-Am","42","1:31:25.444",5485444,"2:05.373",125373,"97.916","10","36.004","17.315","8","2","143.220","0","2:03.741","Triarsi Competizione","","2:05.411",125411,"2","26.860",26860,"50.525",50525,"Triarsi Competizione","","","218046","FGTWCA","Ferrari 296 GT3","Triarsi Competizione","Ferrari","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:UmWPVG2rTEMktrYlQtETk","entries:events-lJKQh5JmkIuKl8rnnFAqm:UmWPVG2rTEMktrYlQtETk","14652543","",2,"-4 (2 → 6)","-7"
"10","7","9","TR3 Racing","Pro-Am","42","1:31:33.627",5493627,"2:05.599",125599,"97.740","3","44.187","8.183","6","4","143.220","4","2:03.744","TR3 Racing","","2:05.636",125636,"1","26.841",26841,"50.433",50433,"TR3 Racing","","","218037","FGTWCA","Mercedes-AMG GT3","TR3 Racing","Mercedes AMG GmbH","USA","","entries:events-lJKQh5JmkIuKl8rnnFAqm:_gbyhHr_FipcG9flOaO7w","entries:events-lJKQh5JmkIuKl8rnnFAqm:_gbyhHr_FipcG9flOaO7w","6860459","",3,"-4 (3 → 7)","-6"
